place_id,name,district,category,description, URL
162,Ruwanwelisaya Stupa,Anuradhapura,Historical,"Ancient stupa built by King Dutugemunu, major Buddhist pilgrimage site.",https://www.google.com/search?q=Ruwanwelisaya+Stupa+Sri+Lanka
163,Jetavanaramaya,Anuradhapura,Historical,One of the tallest ancient brick structures in the world.,https://www.google.com/search?q=Jetavanaramaya+Sri+Lanka
164,Abhayagiri Dagaba,Anuradhapura,Historical,Historic monastery complex with large stupa and ruins.,https://www.google.com/search?q=Abhayagiri+Dagaba+Sri+Lanka
165,Mihintale Hills,Anuradhapura,Nature,Sacred hills with panoramic views and natural surroundings.,https://www.google.com/search?q=Mihintale+Hills+Sri+Lanka
166,Wilpattu National Park,Anuradhapura,Nature,Largest national park in Sri Lanka with rich wildlife.,https://www.google.com/search?q=Wilpattu+National+Park+Sri+Lanka
167,Kala Wewa Reservoir,Anuradhapura,Nature,Ancient irrigation reservoir surrounded by greenery.,https://www.google.com/search?q=Kala+Wewa+Reservoir+Sri+Lanka
168,Nuwara Wewa,Anuradhapura,Nature,Scenic reservoir in the city area ideal for relaxation.,https://www.google.com/search?q=Nuwara+Wewa+Sri+Lanka
169,Cycling Sacred City,Anuradhapura,Adventure,Explore historical monuments and ancient ruins by bicycle.,https://www.google.com/search?q=Cycling+Sacred+City+Sri+Lanka
170,Wilpattu Safari,Anuradhapura,Adventure,Wildlife safari in Wilpattu National Park for adventurous visitors.,https://www.google.com/search?q=Wilpattu+Safari+Sri+Lanka
171,Trekking Mihintale,Anuradhapura,Adventure,Hike to Mihintale summit for panoramic views and temples.,https://www.google.com/search?q=Trekking+Mihintale+Sri+Lanka
172,Bo Tree Circuit,Anuradhapura,Adventure,Walking circuit connecting sacred Bodhi trees and historic sites.,https://www.google.com/search?q=Bo+Tree+Circuit+Sri+Lanka
173,Kala Wewa Shore,Anuradhapura,Beaches,Reservoir shoreline suitable for relaxation and picnics.,https://www.google.com/search?q=Kala+Wewa+Shore+Sri+Lanka
174,Nuwara Wewa Park,Anuradhapura,Beaches,Lakeside park area for walking and leisure.,https://www.google.com/search?q=Nuwara+Wewa+Park+Sri+Lanka
175,Tissa Wewa,Anuradhapura,Beaches,Artificial lake with scenic surroundings and water activities.,https://www.google.com/search?q=Tissa+Wewa+Sri+Lanka
176,Minneriya Lake,Anuradhapura,Beaches,Large reservoir with elephant sightings during dry season.,https://www.google.com/search?q=Minneriya+Lake+Sri+Lanka
177,Gal Vihara,Polonnaruwa,Historical,Rock temple with four Buddha statues carved into granite.,https://www.google.com/search?q=Gal+Vihara+Sri+Lanka
178,Polonnaruwa Vatadage,Polonnaruwa,Historical,Circular relic house with intricate stone carvings.,https://www.google.com/search?q=Polonnaruwa+Vatadage+Sri+Lanka
179,Rankoth Vehera,Polonnaruwa,Historical,"Large stupa in ancient Polonnaruwa city, Buddhist heritage site.",https://www.google.com/search?q=Rankoth+Vehera+Sri+Lanka
180,Parakrama Samudra,Polonnaruwa,Historical,"Ancient irrigation reservoir built by King Parakramabahu I, historic landmark.",https://www.google.com/search?q=Parakrama+Samudra+Sri+Lanka
181,Minneriya National Park,Polonnaruwa,Nature,Famous for “Gathering” of elephants; rich flora and fauna.,https://www.google.com/search?q=Minneriya+National+Park+Sri+Lanka
182,Kaudulla National Park,Polonnaruwa,Nature,"Wildlife sanctuary with elephants, birds, and natural scenery.",https://www.google.com/search?q=Kaudulla+National+Park+Sri+Lanka
183,Parakrama Samudra Shore,Polonnaruwa,Nature,Scenic reservoir area surrounded by greenery.,https://www.google.com/search?q=Parakrama+Samudra+Shore+Sri+Lanka
184,Girithale Reservoir,Polonnaruwa,Nature,Peaceful reservoir with surrounding forest and birdlife.,https://www.google.com/search?q=Girithale+Reservoir+Sri+Lanka
185,Cycling Ancient City,Polonnaruwa,Adventure,Explore ancient ruins and temples on a bicycle tour.,https://www.google.com/search?q=Cycling+Ancient+City+Sri+Lanka
186,Safari Minneriya,Polonnaruwa,Adventure,Jeep safari to see elephants and wildlife.,https://www.google.com/search?q=Safari+Minneriya+Sri+Lanka
187,Trekking Kaudulla,Polonnaruwa,Adventure,Light trekking in natural forested areas within the park.,https://www.google.com/search?q=Trekking+Kaudulla+Sri+Lanka
188,Canoeing Girithale,Polonnaruwa,Adventure,Canoeing on Girithale reservoir with peaceful surroundings.,https://www.google.com/search?q=Canoeing+Girithale+Sri+Lanka
189,Parakrama Samudra Shore,Polonnaruwa,Beaches,Reservoir shoreline ideal for walking and picnics.,https://www.google.com/search?q=Parakrama+Samudra+Shore+Sri+Lanka
190,Girithale Reservoir,Polonnaruwa,Beaches,Scenic waterbody with space for relaxation and boating.,https://www.google.com/search?q=Girithale+Reservoir+Sri+Lanka
191,Minneriya Lake Shore,Polonnaruwa,Beaches,Lakeside area with wildlife viewing opportunities.,https://www.google.com/search?q=Minneriya+Lake+Shore+Sri+Lanka
192,Kaudulla Lake Shore,Polonnaruwa,Beaches,Reservoir shoreline suitable for nature observation and photography.,https://www.google.com.search?q=Kaudulla+Lake+Shore+Sri+Lanka
193,Kurunegala Raja Maha Vihara,Kurunegala,Historical,Ancient Buddhist temple with historic architecture and relics.,https://www.google.com/search?q=Kurunegala+Raja+Maha+Vihara+Sri+Lanka
194,Athugala Temple,Kurunegala,Historical,Historic temple with rock carvings and religious significance.,https://www.google.com/search?q=Athugala+Temple+Sri+Lanka
195,Panduwasnuwara Ancient City,Kurunegala,Historical,Ruins of ancient city with palace and Buddhist structures.,https://www.google.com.search?q=Panduwasnuwara+Ancient+City+Sri+Lanka
196,Bogambara Prison (Heritage Site),Kurunegala,Historical,Former colonial-era prison with historical importance.,https://www.google.com/search?q=Bogambara+Prison+Heritage+Site+Sri+Lanka
197,Ethagala (Elephant Rock),Kurunegala,Nature,"Iconic rock formation shaped like an elephant, panoramic views.",https://www.google.com/search?q=Ethagala+Elephant+Rock+Sri+Lanka
198,Bingiriya Waterfalls,Kurunegala,Nature,Scenic waterfall in lush surroundings for nature lovers.,https://www.google.com/search?q=Bingiriya+Waterfalls+Sri+Lanka
199,Randenigala Reservoir,Kurunegala,Nature,Large reservoir with peaceful surroundings and birdlife.,https://www.google.com/search?q=Randenigala+Reservoir+Sri+Lanka
200,Galgiriya Mountain,Kurunegala,Nature,Hilly terrain with hiking and natural scenery.,https://www.google.com/search?q=Galgiriya+Mountain+Sri+Lanka
201,Trekking Elephant Rock,Kurunegala,Adventure,Short trek to Ethagala summit for panoramic views.,https://www.google.com/search?q=Trekking+Elephant+Rock+Sri+Lanka
202,Randenigala Reservoir Kayaking,Kurunegala,Adventure,Kayaking and boating in calm waters.,https://www.google.com/search?q=Randenigala+Reservoir+Kayaking+Sri+Lanka
203,Hiking Galgiriya Mountain,Kurunegala,Adventure,Moderate trekking adventure with natural scenery.,https://www.google.com/search?q=Hiking+Galgiriya+Mountain+Sri+Lanka
204,Cycling Kurunegala Trails,Kurunegala,Adventure,Explore rural landscapes and small hills via bicycle.,https://www.google.com/search?q=Cycling+Kurunegala+Trails+Sri+Lanka
205,Randenigala Reservoir Shore,Kurunegala,Beaches,Relaxing waterbody edge with peaceful scenery.,https://www.google.com/search?q=Randenigala+Reservoir+Shore+Sri+Lanka
206,Rajanganaya Reservoir,Kurunegala,Beaches,Large reservoir with green surroundings for leisure.,https://www.google.com/search?q=Rajanganaya+Reservoir+Sri+Lanka
207,Kurunegala Lake,Kurunegala,Beaches,Small lake ideal for walking and light recreation.,https://www.google.com/search?q=Kurunegala+Lake+Sri+Lanka
208,Bingiriya Falls Pool,Kurunegala,Beaches,Natural pool at the base of Bingiriya Waterfalls.,https://www.google.com/search?q=Bingiriya+Falls+Pool+Sri+Lanka
209,Muthiyangana Raja Maha Vihara,Badulla,Historical,"Ancient Buddhist temple, important pilgrimage site.",https://www.google.com/search?q=Muthiyangana+Raja+Maha+Vihara+Sri+Lanka
210,Dunhinda Temple,Badulla,Historical,"Historic temple near Dunhinda Falls, scenic surroundings.",https://www.google.com/search?q=Dunhinda+Temple+Sri+Lanka
211,Bogoda Wooden Bridge,Badulla,Historical,200-year-old wooden bridge with historical significance.,https://www.google.com/search?q=Bogoda+Wooden+Bridge+Sri+Lanka
212,Namunukula Fort Ruins,Badulla,Historical,Remains of colonial-era fort on the hilltops.,https://www.google.com/search?q=Namunukula+Fort+Ruins+Sri+Lanka
213,Dunhinda Falls,Badulla,Nature,64-meter high waterfall surrounded by lush forest.,https://www.google.com/search?q=Dunhinda+Falls+Sri+Lanka
214,Sorabora Wewa Reservoir,Badulla,Nature,Ancient reservoir ideal for relaxation and birdwatching.,https://www.google.com/search?q=Sorabora+Wewa+Reservoir+Sri+Lanka
215,Bogoda Forest Reserve,Badulla,Nature,Dense forest with hiking trails and native flora.,https://www.google.com/search?q=Bogoda+Forest+Reserve+Sri+Lanka
216,Namunukula Mountain Range,Badulla,Nature,Mountain range with panoramic views of surrounding areas.,https://www.google.com/search?q=Namunukula+Mountain+Range+Sri+Lanka
217,Trekking Dunhinda Falls,Badulla,Adventure,Moderate trekking to reach the base of Dunhinda Falls.,https://www.google.com/search?q=Trekking+Dunhinda+Falls+Sri+Lanka
218,Hiking Namunukula,Badulla,Adventure,Mountain hiking with scenic viewpoints.,https://www.google.com/search?q=Hiking+Namunukula+Sri+Lanka
219,Cycling Badulla Trails,Badulla,Adventure,Explore countryside and tea plantations by bicycle.,https://www.google.com/search?q=Cycling+Badulla+Trails+Sri+Lanka
220,Bogoda Bridge Exploration,Badulla,Adventure,Adventure walk on historic wooden bridge and surroundings.,https://www.google.com/search?q=Bogoda+Bridge+Exploration+Sri+Lanka
221,Sorabora Wewa Shore,Badulla,Beaches,Reservoir shoreline suitable for picnics and relaxation.,https://www.google.com/search?q=Sorabora+Wewa+Shore+Sri+Lanka
222,Dunhinda Stream,Badulla,Beaches,Small water stream near Dunhinda Falls for cooling off.,https://www.google.com/search?q=Dunhinda+Stream+Sri+Lanka
223,Bogoda Reservoir,Badulla,Beaches,Scenic reservoir with natural surroundings.,https://www.google.com/search?q=Bogoda+Reservoir+Sri+Lanka
224,Adisham Lake,Badulla,Beaches,Man-made lake near Adisham Monastery for leisure and nature walks.,https://www.google.com/search?q=Adisham+Lake+Sri+Lanka
225,Buduruwagala Temple,Moneragala,Historical,Ancient rock temple with seven large Buddha statues carved into the rock face.,https://www.google.com/search?q=Buduruwagala+Temple+Sri+Lanka
226,Samudragiri Temple,Moneragala,Historical,Historical Buddhist temple with scenic surroundings.,https://www.google.com/search?q=Samudragiri+Temple+Sri+Lanka
227,Wellawaya Old Temple,Moneragala,Historical,Ancient temple with heritage architecture and religious importance.,https://www.google.com/search?q=Wellawaya+Old+Temple+Sri+Lanka
228,Lahugala Kitulana Temple,Moneragala,Historical,Historic temple near national park with cultural significance.,https://www.google.com/search?q=Lahugala+Kitulana+Temple+Sri+Lanka
229,Gal Oya National Park,Moneragala,Nature,"Wildlife sanctuary with elephants, birds, and lush greenery.",https://www.google.com/search?q=Gal+Oya+National+Park+Sri+Lanka
230,Senanayake Samudraya,Moneragala,Nature,"Large reservoir with scenic views, ideal for relaxation and birdwatching.",https://www.google.com/search?q=Senanayake+Samudraya+Sri+Lanka
231,Namunukula Hills,Moneragala,Nature,Rolling hills with natural forest and scenic viewpoints.,https://www.google.com/search?q=Namunukula+Hills+Sri+Lanka
232,Bambaragala Forest,Moneragala,Nature,Forest reserve with walking trails and native flora.,https://www.google.com/search?q=Bambaragala+Forest+Sri+Lanka
233,Trekking Gal Oya Trails,Moneragala,Adventure,Moderate trekking in forested areas with wildlife spotting.,https://www.google.com/search?q=Trekking+Gal+Oya+Trails+Sri+Lanka
234,Kayaking Senanayake Samudraya,Moneragala,Adventure,Water-based adventure kayaking in the reservoir.,https://www.google.com/search?q=Kayaking+Senanayake+Samudraya+Sri+Lanka
235,Cycling Moneragala Countryside,Moneragala,Adventure,Explore rural villages and natural landscapes by bicycle.,https://www.google.com/search?q=Cycling+Moneragala+Countryside+Sri+Lanka
236,Hiking Namunukula Hills,Moneragala,Adventure,Hiking trails with scenic hilltop views.,https://www.google.com/search?q=Hiking+Namunukula+Hills+Sri+Lanka
237,Senanayake Samudraya Shore,Moneragala,Beaches,Reservoir shoreline ideal for relaxation and photography.,https://www.google.com/search?q=Senanayake+Samudraya+Shore+Sri+Lanka
238,Gal Oya Lake Shore,Moneragala,Beaches,Lake edge suitable for leisure and nature observation.,https://www.google.com/search?q=Gal+Oya+Lake+Shore+Sri+Lanka
239,Lahugala Reservoir,Moneragala,Beaches,Small reservoir with scenic surroundings for picnics.,https://www.google.com/search?q=Lahugala+Reservoir+Sri+Lanka
240,Bambaragala Stream,Moneragala,Beaches,Small stream for relaxation and light recreation.,https://www.google.com/search?q=Bambaragala+Stream+Sri+Lanka
241,Maha Saman Devalaya,Ratnapura,Historical,"Ancient temple dedicated to God Saman, important religious site.",https://www.google.com/search?q=Maha+Saman+Devalaya+Sri+Lanka
242,Samanalawewa Temple,Ratnapura,Historical,Historic temple located near Samanalawewa reservoir.,https://www.google.com/search?q=Samanalawewa+Temple+Sri+Lanka
243,Ratnapura Dutch Fort Ruins,Ratnapura,Historical,Remains of colonial-era fort from Dutch period.,https://www.google.com/search?q=Ratnapura+Dutch+Fort+Ruins+Sri+Lanka
244,Kuruwita Temple,Ratnapura,Historical,Ancient temple with cultural and historical significance.,https://www.google.com/search?q=Kuruwita+Temple+Sri+Lanka
245,Sinharaja Forest Reserve,Ratnapura,Nature,"UNESCO World Heritage tropical rainforest, rich biodiversity.",https://www.google.com/search?q=Sinharaja+Forest+Reserve+Sri+Lanka
246,Kirala Kele Forest,Ratnapura,Nature,Lush forest area with endemic flora and fauna.,https://www.google.com/search?q=Kirala+Kele+Forest+Sri+Lanka
247,Samanalawewa Reservoir,Ratnapura,Nature,Large reservoir with scenic surroundings for relaxation.,https://www.google.com/search?q=Samanalawewa+Reservoir+Sri+Lanka
248,Rahangala Mountain,Ratnapura,Nature,Mountain offering panoramic views and trekking opportunities.,https://www.google.com/search?q=Rahangala+Mountain+Sri+Lanka
249,Trekking Rahangala,Ratnapura,Adventure,Moderate trekking for stunning hilltop views.,https://www.google.com/search?q=Trekking+Rahangala+Sri+Lanka
250,Cycling Ratnapura Countryside,Ratnapura,Adventure,Explore lush tea and gem country villages via bicycle.,https://www.google.com/search?q=Cycling+Ratnapura+Countryside+Sri+Lanka
251,Samanalawewa Kayaking,Ratnapura,Adventure,Kayaking adventure on Samanalawewa Reservoir.,https://www.google.com/search?q=Samanalawewa+Kayaking+Sri+Lanka
252,Sinharaja Forest Hiking,Ratnapura,Adventure,Hiking in dense rainforest with wildlife spotting.,https://www.google.com/search?q=Sinharaja+Forest+Hiking+Sri+Lanka
253,Samanalawewa Reservoir Shore,Ratnapura,Beaches,Reservoir edge perfect for relaxation and picnics.,https://www.google.com/search?q=Samanalawewa+Reservoir+Shore+Sri+Lanka
254,Kiri Ela Stream,Ratnapura,Beaches,Tranquil stream in the midst of nature for leisure.,https://www.google.com/search?q=Kiri+Ela+Stream+Sri+Lanka
255,Rahangala Water Pool,Ratnapura,Beaches,"Natural pool near Rahangala base, ideal for short breaks.",https://www.google.com/search?q=Rahangala+Water+Pool+Sri+Lanka
256,Kirala Kele Forest Stream,Ratnapura,Beaches,Small forest stream offering serene environment for visitors.,https://www.google.com/search?q=Kirala+Kele+Forest+Stream+Sri+Lanka
257,Alagalla Temple,Kegalle,Historical,Ancient temple with cultural and religious significance.,https://www.google.com/search?q=Alagalla+Temple+Sri+Lanka
258,Kegalle Dutch Fort Ruins,Kegalle,Historical,Remains of colonial fort from Dutch era.,https://www.google.com/search?q=Kegalle+Dutch+Fort+Ruins+Sri+Lanka
259,Ruwanwella Temple,Kegalle,Historical,Historic Buddhist temple with heritage architecture.,https://www.google.com/search?q=Ruwanwella+Temple+Sri+Lanka
260,Rambukkana Old Temple,Kegalle,Historical,Temple with historical statues and old carvings.,https://www.google.com/search?q=Rambukkana+Old+Temple+Sri+Lanka
261,Alagalla Mountain,Kegalle,Nature,Mountain with scenic trekking trails and panoramic views.,https://www.google.com/search?q=Alagalla+Mountain+Sri+Lanka
262,Pinnawala Elephant Orphanage,Kegalle,Nature,Elephant sanctuary offering wildlife observation.,https://www.google.com/search?q=Pinnawala+Elephant+Orphanage+Sri+Lanka
263,River Kelani Viewpoint,Kegalle,Nature,Riverside scenic area with natural beauty.,https://www.google.com/search?q=River+Kelani+Viewpoint+Sri+Lanka
264,Bibile Forest Reserve,Kegalle,Nature,Natural forest reserve with biodiversity and hiking trails.,https://www.google.com/search?q=Bibile+Forest+Reserve+Sri+Lanka
265,Trekking Alagalla,Kegalle,Adventure,Moderate trekking for panoramic hill views.,https://www.google.com/search?q=Trekking+Alagalla+Sri+Lanka
266,Pinnawala Elephant Safari,Kegalle,Adventure,Interactive wildlife experience with elephants.,https://www.google.com/search?q=Pinnawala+Elephant+Safari+Sri+Lanka
267,Cycling Kegalle Trails,Kegalle,Adventure,Countryside cycling through scenic villages.,https://www.google.com/search?q=Cycling+Kegalle+Trails+Sri+Lanka
268,Rock Climbing Rambukkana,Kegalle,Adventure,Beginner-friendly rock climbing spots.,https://www.google.com/search?q=Rock+Climbing+Rambukkana+Sri+Lanka
269,Kelani River Shore,Kegalle,Beaches,Riverside area ideal for picnics and nature walks.,https://www.google.com/search?q=Kelani+River+Shore+Sri+Lanka
270,Rambukkana Stream,Kegalle,Beaches,Natural stream for relaxation and cooling off.,https://www.google.com/search?q=Rambukkana+Stream+Sri+Lanka
271,Pinnawala River Edge,Kegalle,Beaches,Scenic riverbank near elephant orphanage.,https://www.google.com/search?q=Pinnawala+River+Edge+Sri+Lanka
272,Alagalla Water Pool,Kegalle,Beaches,Small natural pool near Alagalla mountain base.,https://www.google.com/search?q=Alagalla+Water+Pool+Sri+Lanka
273,Koneswaram Temple,Trincomalee,Historical,Ancient Hindu temple on a cliff with panoramic sea views.,https://www.google.com/search?q=Koneswaram+Temple+Sri+Lanka
274,Fort Frederick,Trincomalee,Historical,17th-century fort built by the Portuguese and expanded by Dutch.,https://www.google.com/search?q=Fort+Frederick+Sri+Lanka
275,Trincomalee Dutch Bay Cemetery,Trincomalee,Historical,Historic Dutch cemetery with colonial-era graves.,https://www.google.com/search?q=Trincomalee+Dutch+Bay+Cemetery+Sri+Lanka
276,Bhadrakali Temple,Trincomalee,Historical,Ancient temple dedicated to Goddess Bhadrakali.,https://www.google.com/search?q=Bhadrakali+Temple+Sri+Lanka
277,Uppuveli Lagoon,Trincomalee,Nature,Serene lagoon surrounded by mangroves and birdlife.,https://www.google.com/search?q=Uppuveli+Lagoon+Sri+Lanka
278,Vellamullivaikkal Wetlands,Trincomalee,Nature,Wetlands area rich in flora and migratory birds.,https://www.google.com/search?q=Vellamullivaikkal+Wetlands+Sri+Lanka
279,Pigeon Island National Park,Trincomalee,Nature,Coral island with marine biodiversity and scenic views.,https://www.google.com/search?q=Pigeon+Island+National+Park+Sri+Lanka
280,Girithale Forest,Trincomalee,Nature,Dense forest with walking trails and native wildlife.,https://www.google.com/search?q=Girithale+Forest+Sri+Lanka
281,Scuba Diving Pigeon Island,Trincomalee,Adventure,Snorkeling and scuba diving to explore coral reefs.,https://www.google.com/search?q=Scuba+Diving+Pigeon+Island+Sri+Lanka
282,Kayaking Uppuveli Lagoon,Trincomalee,Adventure,Kayaking through calm lagoon waters.,https://www.google.com/search?q=Kayaking+Uppuveli+Lagoon+Sri+Lanka
283,Trekking Girithale Forest,Trincomalee,Adventure,Forest trekking with wildlife spotting.,https://www.google.com/search?q=Trekking+Girithale+Forest+Sri+Lanka
284,Rock Climbing Trincomalee Coast,Trincomalee,Adventure,Coastal rock climbing with sea views.,https://www.google.com/search?q=Rock+Climbing+Trincomalee+Coast+Sri+Lanka
285,Nilaveli Beach,Trincomalee,Beaches,White sandy beach ideal for sunbathing and swimming.,https://www.google.com/search?q=Nilaveli+Beach+Sri+Lanka
286,Uppuveli Beach,Trincomalee,Beaches,Popular beach for relaxation and water sports.,https://www.google.com/search?q=Uppuveli+Beach+Sri+Lanka
287,Marble Beach,Trincomalee,Beaches,Hidden beach with calm waters and scenic cliffs.,https://www.google.com/search?q=Marble+Beach+Sri+Lanka
288,Pigeon Island Shore,Trincomalee,Beaches,Shoreline near Pigeon Island perfect for snorkeling.,https://www.google.com/search?q=Pigeon+Island+Shore+Sri+Lanka
289,Batticaloa Dutch Fort,Batticaloa,Historical,"Colonial-era fort built by the Dutch in 1628, historic landmark.",https://www.google.com/search?q=Batticaloa+Dutch+Fort+Sri+Lanka
290,Kallady Bridge,Batticaloa,Historical,Historic bridge with cultural significance over Batticaloa lagoon.,https://www.google.com/search?q=Kallady+Bridge+Sri+Lanka
291,Batticaloa Lighthouse,Batticaloa,Historical,Historic lighthouse offering panoramic coastal views.,https://www.google.com/search?q=Batticaloa+Lighthouse+Sri+Lanka
292,Old Batticaloa Temple,Batticaloa,Historical,Ancient temple with historical architecture and local heritage.,https://www.google.com/search?q=Old+Batticaloa+Temple+Sri+Lanka
293,Batticaloa Lagoon,Batticaloa,Nature,Large lagoon surrounded by scenic landscapes and mangroves.,https://www.google.com/search?q=Batticaloa+Lagoon+Sri+Lanka
294,Kallady Mangrove Forest,Batticaloa,Nature,"Dense mangrove forest, ideal for birdwatching and nature walks.",https://www.google.com/search?q=Kallady+Mangrove+Forest+Sri+Lanka
295,Chenkalady Wetlands,Batticaloa,Nature,Wetlands with rich biodiversity and natural scenery.,https://www.google.com/search?q=Chenkalady+Wetlands+Sri+Lanka
296,Pasikudah Backwaters,Batticaloa,Nature,"Calm backwaters surrounded by greenery, peaceful environment.",https://www.google.com/search?q=Pasikudah+Backwaters+Sri+Lanka
297,Kayaking Batticaloa Lagoon,Batticaloa,Adventure,Paddle through the calm lagoon with scenic views.,https://www.google.com/search?q=Kayaking+Batticaloa+Lagoon+Sri+Lanka
298,Trekking Kallady Mangroves,Batticaloa,Adventure,Light trekking and exploration in mangrove forests.,https://www.google.com/search?q=Trekking+Kallady+Mangroves+Sri+Lanka
299,Cycling Batticaloa Countryside,Batticaloa,Adventure,Explore rural villages and scenic fields by bicycle.,https://www.google.com/search?q=Cycling+Batticaloa+Countryside+Sri+Lanka
300,Bird Watching Chenkalady,Batticaloa,Adventure,Adventure activity for observing local and migratory birds.,https://www.google.com/search?q=Bird+Watching+Chenkalady+Sri+Lanka
301,Pasikudah Beach,Batticaloa,Beaches,Famous white sandy beach with shallow waters for swimming.,https://www.google.com/search?q=Pasikudah+Beach+Sri+Lanka
302,Kalkudah Beach,Batticaloa,Beaches,Calm beach ideal for family outings and water sports.,https://www.google.com/search?q=Kalkudah+Beach+Sri+Lanka
303,Kallady Beach,Batticaloa,Beaches,Quiet beach with beautiful sunrise views.,https://www.google.com/search?q=Kallady+Beach+Sri+Lanka
304,Sangamankanda Beach,Batticaloa,Beaches,Scenic beach with natural beauty and picnic spots.,https://www.google.com/search?q=Sangamankanda+Beach+Sri+Lanka
305,Deegavapi Stupa,Ampara,Historical,"Ancient Buddhist stupa dating back to 3rd century BC, important heritage site.",https://www.google.com/search?q=Deegavapi+Stupa+Sri+Lanka
306,Ampara Dutch Fort,Ampara,Historical,Remains of a colonial-era Dutch fort in Ampara town.,https://www.google.com/search?q=Ampara+Dutch+Fort+Sri+Lanka
307,Mahagama Temple,Ampara,Historical,Historic Buddhist temple with traditional architecture.,https://www.google.com/search?q=Mahagama+Temple+Sri+Lanka
308,Navagamuwa Temple,Ampara,Historical,Ancient temple with cultural and religious significance.,https://www.google.com/search?q=Navagamuwa+Temple+Sri+Lanka
309,Lahugala Kitulana National Park,Ampara,Nature,"Wildlife park with elephants, birds, and scenic landscapes.",https://www.google.com/search?q=Lahugala+Kitulana+National+Park+Sri+Lanka
310,Senanayake Samudraya Reservoir,Ampara,Nature,"Largest reservoir in Sri Lanka, ideal for sightseeing and relaxation.",https://www.google.com/search?q=Senanayake+Samudraya+Reservoir+Sri+Lanka
311,Oluvil Lagoon,Ampara,Nature,"Serene lagoon surrounded by greenery, perfect for nature walks.",https://www.google.com/search?q=Oluvil+Lagoon+Sri+Lanka
312,Panama Forest Reserve,Ampara,Nature,Dense forest reserve with native flora and fauna.,https://www.google.com/search?q=Panama+Forest+Reserve+Sri+Lanka
313,Safari Lahugala,Ampara,Adventure,Wildlife safari to observe elephants and other animals.,https://www.google.com/search?q=Safari+Lahugala+Sri+Lanka
314,Kayaking Oluvil Lagoon,Ampara,Adventure,Paddle through calm lagoon waters with scenic views.,https://www.google.com/search?q=Kayaking+Oluvil+Lagoon+Sri+Lanka
315,Trekking Panama Reserve,Ampara,Adventure,Guided trekking through natural forest trails.,https://www.google.com/search?q=Trekking+Panama+Reserve+Sri+Lanka
316,Cycling Around Senanayake Reservoir,Ampara,Adventure,Countryside cycling along reservoir trails.,https://www.google.com/search?q=Cycling+Around+Senanayake+Reservoir+Sri+Lanka
317,Passekudah Beach,Ampara,Beaches,Famous for shallow waters and long sandy stretch.,https://www.google.com/search?q=Passekudah+Beach+Sri+Lanka
318,Kalkudah Beach,Ampara,Beaches,Calm beach ideal for swimming and relaxation.,https://www.google.com/search?q=Kalkudah+Beach+Sri+Lanka
319,Oluvil Beach,Ampara,Beaches,Quiet beach with natural scenery.,https://www.google.com/search?q=Oluvil+Beach+Sri+Lanka
320,Panama Beach,Ampara,Beaches,"Scenic beach near Panama lagoon, perfect for picnics.",https://www.google.com/search?q=Panama+Beach+Sri+Lanka
321,Kilinochchi War Memorial,Kilinochchi,Historical,Memorial site commemorating the Sri Lankan Civil War.,https://www.google.com/search?q=Kilinochchi+War+Memorial+Sri+Lanka
322,Chavakachcheri Church,Kilinochchi,Historical,Historic Catholic church with colonial architecture.,https://www.google.com/search?q=Chavakachcheri+Church+Sri+Lanka
323,Poonakary Fort,Kilinochchi,Historical,"Fort built by the Dutch along the Jaffna lagoon, historical significance.",https://www.google.com/search?q=Poonakary+Fort+Sri+Lanka
324,Kilinochchi District Museum,Kilinochchi,Historical,"Museum showcasing local history, artifacts, and cultural heritage.",https://www.google.com/search?q=Kilinochchi+District+Museum+Sri+Lanka
325,Chundikkulam Lagoon,Kilinochchi,Nature,Coastal lagoon with rich birdlife and mangroves.,https://www.google.com/search?q=Chundikkulam+Lagoon+Sri+Lanka
326,Paranthan Forest Reserve,Kilinochchi,Nature,Small forested area suitable for walking and observing wildlife.,https://www.google.com/search?q=Paranthan+Forest+Reserve+Sri+Lanka
327,Vadamarachchi Plains,Kilinochchi,Nature,Scenic flatlands with agricultural landscapes and open skies.,https://www.google.com/search?q=Vadamarachchi+Plains+Sri+Lanka
328,Kilinochchi River Banks,Kilinochchi,Nature,Tranquil riverside area for nature walks and relaxation.,https://www.google.com/search?q=Kilinochchi+River+Banks+Sri+Lanka
329,Cycling in Vadamarachchi,Kilinochchi,Adventure,Cycling through open plains and village roads for light adventure.,https://www.google.com/search?q=Cycling+in+Vadamarachchi+Sri+Lanka
330,Kayaking Chundikkulam Lagoon,Kilinochchi,Adventure,Canoeing or kayaking in calm lagoon waters with scenic views.,https://www.google.com/search?q=Kayaking+Chundikkulam+Lagoon+Sri+Lanka
331,Jungle Trek Paranthan,Kilinochchi,Adventure,Short trekking trails through forested areas with wildlife spotting.,https://www.google.com/search?q=Jungle+Trek+Paranthan+Sri+Lanka
332,Birdwatching Chundikkulam,Kilinochchi,Adventure,Observe migratory and native birds in lagoon and wetland habitats.,https://www.google.com/search?q=Birdwatching+Chundikkulam+Sri+Lanka
333,Delft Coast Beach,Kilinochchi,Beaches,Secluded coastline with sand flats and shallow waters.,https://www.google.com/search?q=Delft+Coast+Beach+Sri+Lanka
334,Palaly Beach,Kilinochchi,Beaches,Quiet local beach near Palaly town with calm waters.,https://www.google.com/search?q=Palaly+Beach+Sri+Lanka
